r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Fortaleza,12,3,3,4,10,9,1,13,Inter-RS,20,6,2,2,15,6,9,1,1
Atlético-GO,13,3,4,3,9,11,-2,12,Atlético-MG,18,6,0,4,14,11,3,2,-1
Fluminense,14,4,2,5,12,14,-2,11,Coritiba,11,3,2,6,8,12,-4,17,1
Vasco,18,5,3,3,16,11,5,6,Bragantino,10,2,4,5,14,18,-4,18,0
Palmeiras,19,4,7,0,15,10,5,5,Flamengo,20,6,2,3,15,14,1,4,0
Santos,16,4,4,3,14,12,2,7,Fortaleza,15,4,3,4,11,9,2,9,0
Atlético-MG,21,7,0,4,18,14,4,1,Grêmio,16,3,7,1,11,8,3,8,1
Inter-RS,20,6,2,3,15,7,8,3,São Paulo,21,6,3,2,16,11,5,2,0
Sport,14,4,2,5,11,13,-2,12,Corinthians,13,3,4,4,15,16,-1,14,1
Athletico-PR,14,4,2,5,10,10,0,10,Bahia,12,3,3,5,14,19,-5,16,1
Ceará,13,4,1,6,12,16,-4,13,Goiás,8,2,2,7,13,20,-7,20,0
Atlético-GO,13,3,4,4,12,15,-3,15,Botafogo,10,1,7,3,10,13,-3,19,0
Flamengo,21,6,3,3,16,15,1,4,Athletico-PR,17,5,2,5,11,10,1,8,1
Botafogo,11,1,8,3,11,14,-3,19,Fluminense,17,5,2,5,16,14,2,7,0
Palmeiras,20,4,8,0,16,11,5,5,Ceará,14,4,2,6,14,18,-4,13,1
Bragantino,11,2,5,5,15,19,-4,18,Corinthians,13,3,4,5,15,17,-2,15,0
Atlético-MG,24,8,0,4,21,15,6,1,Vasco,19,5,4,3,17,12,5,6,1
Grêmio,16,3,7,2,12,11,1,12,Inter-RS,21,6,3,3,16,8,8,3,0
Bahia,12,3,3,6,14,20,-6,16,Sport,17,5,2,5,12,13,-1,9,-1
Coritiba,11,3,2,7,8,16,-8,17,São Paulo,22,6,4,2,17,12,5,2,0
Fortaleza,16,4,4,4,12,10,2,11,Atlético-GO,14,3,5,4,13,16,-3,14,0
Goiás,9,2,3,7,15,22,-7,20,Santos,17,4,5,3,15,13,2,10,-1
Flamengo,24,7,3,3,19,16,3,2,Sport,20,6,2,5,14,14,0,6,1
Botafogo,12,1,9,3,12,15,-3,19,Palmeiras,23,5,8,0,18,12,6,4,1
São Paulo,23,6,5,2,18,13,5,3,Atlético-GO,15,3,6,4,13,16,-3,13,1
Bragantino,12,2,6,5,15,19,-4,18,Inter-RS,22,6,4,3,17,9,8,5,-1
Corinthians,14,3,5,5,15,17,-2,15,Santos,20,5,5,3,18,15,3,7,0
Grêmio,17,3,8,2,13,12,1,12,Coritiba,12,3,3,7,9,17,-8,17,1
Bahia,12,3,3,7,15,22,-7,16,Vasco,19,5,4,4,18,16,2,8,1
Athletico-PR,17,5,2,6,12,13,-1,10,Ceará,14,4,2,7,15,20,-5,14,0
Fortaleza,17,4,5,4,12,10,2,11,Atlético-MG,27,9,0,4,25,16,9,1,1
Goiás,9,2,3,8,17,25,-8,20,Fluminense,18,5,3,5,17,15,2,9,-1
Fluminense,21,6,3,5,21,17,4,6,Bahia,15,4,3,7,18,22,-4,13,1
Vasco,19,5,4,5,18,19,-1,11,Flamengo,27,8,3,3,22,16,6,2,-1
Palmeiras,23,5,8,1,19,14,5,5,São Paulo,26,7,5,2,21,13,8,3,-1
Santos,21,5,6,3,19,16,3,7,Grêmio,20,4,8,2,15,13,2,10,1
